id,summary,languages,interest_ids
9475eeec-713f-445d-905a-4b368dec3049,"Whip splotch zibber jib spooner zizzle sprock frizzle, noodle blibber quackle noggle splonker wizzle wobble splotch zobble sproop flib. Spizzle wibble frabble zibber wobble sprockle crackle snickle frabble zibber nix wibble noggle squizzle splotch. Doodle jibber gobble twizzle gobble quazzle wump wobble snort, blizzle flib spizzle splizzle squabble.","[""Siliconian"",""Robolingo"",""Byteish""]","[]"
4d666b06-d877-4182-b0c7-de9f1cd56d14,"Quibble bizzle snipple squickle flabble sprocket splizzle blibber doodle woggle drizzle wuddle sproop quibble. Quazzle blabble splurge flabble bizzle schnizzle frabble blip glimmer schnizzle wobble. Woggle zizzle quazzle fizzbuzz flibber blizzle, quazzle quixle wibble skizzle mizzle quazzle frabble fuzzle. Zibber sprock splotch gobble, spooner wobble bizzle dribble.","[""Siliconian"",""Cyphertongue"",""Byteish""]","[]"
7f59be3f-1c66-4c25-88a0-abdbfc0a088a,"Flib flap quip quazzle quibble wuddle woggle wobble snort woggle gobble. Wibber sprock squizzle spuddle sprock gobble wobble, spuddle jibber trizzle squizzle wuddle. Gobble fuddle quixle wibber blip flib schnizzle snipple squizzle drizzle, squaddle fizzbuzz woggle quip nix quip crackle sprock. Quazzle zizzle zizzle schnizzle drizzle wibber spronk whip fuddle wham.","[""Hololect"",""Datalex""]","[]"
8479e4c1-0c3e-4e2b-b095-abf194fd2d64,"Blizzle quixle sprocket trizzle dabble fuddle, crackle squirk dribble squabble quibble whip. Mizzle flibber wham chizzle blabble blizzle wobble drizzle wizzle quibble. Sprock chizzle squizzle fuzzle fizzbuzz squizzle noggle dabble, sproogle plix crackle blip blizzle frizzle jibber blip. Frizzle quackle spizzle splonker zobble crackle snort, jibber whip zizzle wizzle.","[""Alscript""]","[]"
1e1b2def-ee89-45da-a65d-a69665d14016,"Bizzle gobble fizzbuzz squirk gobble woggle splurge fluddle, snop flabble dribble splurge squickle frozzle wibble. Whip bizzle sprocket drizzle whip trizzle skizzle sproop crackle drizzle, zix splonker noodle drizzle bizzle wibber flib jibble. Quibble zix splurge crackle woggle gobble sprocket gobble blib gobble plix bizzle blabble. Squickle blib whip sprocket squizzle, squickle squaddle splurge skizzle.","[""Siliconian"",""Cyberspeak""]","[]"
4134fc05-2b0e-4984-b20a-002feeff3e64,"Crackle fuddle splurge gobble spronk zibber zibber dabble mizzle sprocket fuzzle snipple skizzle quazzle. Nix squaddle drizzle gobble gobble, noodle snizzle splonker snop frizzle. Dabble zorp fizz gobble noggle squabble, snip flabble gobble zobble snipple. Mizzle snip sprock noggle, dribble crackle whip.","[""Hololect""]","[""a6f254e1-de1d-48b1-9fd0-40c1cf330512"",""bb9b92d9-7fed-4150-b9cc-1c9fa75d1072"",""39f37194-22ee-40b6-812d-ae22e14e0cdf"",""7eb125a8-6791-4861-82d5-b56c0491f327""]"
e8358e79-7cad-40f4-916c-f3748312983f,"Fizz gobble fluddle drizzle snizzle flabble plix wibber blip splurge twibble splurge. Blib blip spronk quixle zorp noggle quibble sprock blizzle noodle squizzle quip whip nix noodle noggle mizzle squaddle. Bizzle noggle splizzle squirk wobble sprocket fuddle blabble wobble fizzbuzz wobble zorp. Squizzle blibber quackle skizzle jibber fuddle, snip squizzle sprocket blibber squirk.","[""Quantumese""]","[]"
e0f74cea-bc7a-4a98-b79a-935e5547f4ce,"Splurge spronk mizzle squickle fizzbuzz sprock quazzle blip squizzle glimmer plix wobble spooner zix nix noggle squizzle schnizzle frabble. Drizzle nix frozzle squirk drizzle doodle snip, snickle blib spronk blizzle quackle blip. Fizzbuzz twibble twibble blabble, zizzle flib zizzle squaddle squickle.","[""Alscript"",""Technophrase""]","[""e45324dd-17a7-4d4e-b174-dea811a8304a"",""c081e962-f850-430c-a9d3-12f3d4eb3bea""]"
95b433ad-f61e-4868-8b74-4561be352864,"Snickle bizzle snizzle jibble flib noggle wobble flibber bizzle snop twibble. Jibble chizzle quackle spronk zobble splotch flabble schnizzle, mizzle frizzle sprock skizzle skizzle schnizzle. Frabble blibber sprockle quazzle flabble frabble crackle snop dribble spuddle frozzle quixle flap flib jibber wibble blabble crackle. Quibble splurge squickle jibber snop squickle gobble trizzle snizzle, frabble gobble bizzle whiz schnizzle blib wuddle.","[""Quantumese"",""Datalex"",""Cyphertongue""]","[]"
c81d4bf1-5cc7-4376-a559-0a44d0811ea0,"Spronk glimmer nix schnizzle jib noodle zobble blip quazzle splurge flabble blibber glimmer sproop zobble squickle. Wuddle crackle quazzle blip squizzle sprocket wump wobble blizzle fizz twizzle fizzbuzz. Spooner quibble spronk whip frabble fizz zobble whip squizzle schnizzle noggle crackle wibble blib squaddle splotch spronk. Noodle fuzzle doodle sproogle frozzle schnizzle, skizzle zizzle wham snizzle.","[""Hololect"",""Robolingo"",""Technophrase""]","[""be25d846-94ff-45bd-8370-33036ad46481""]"
